#!!!!___DO NOT SORT____!!!!		#Projection		#cut	
#Category	#Sub Category	#Layer	#Color ID	#Layer	#Color ID
#Model categories					
Air Terminals		X-XX-AL-NTB-G	180		
Areas		N-WE-KG-GRENS-G	150		
Areas	Color Fill	N-WE-KG-GRENS-A	132		
Areas	Interior Fill	N-WE-KG-GRENS-A	132		
Areas	Reference	N-WE-KG-GRENS-G	150		
Cable Tray Fittings		X-XX-AL-NTB-G	180		
Cable Tray Fittings	Center line	X-XX-AL-HARTLIJN-G	7		
Cable Trays		X-XX-AL-NTB-G	180		
Cable Trays	Center line	X-XX-AL-HARTLIJN-G	7		
Cable Trays	Drop	X-XX-AL-T25	7		
Cable Trays	Rise	X-XX-AL-T25	7		
Casework		N-CO-HU-HULPCONSTRUCTIES-G	7	N-CO-HU-HULPCONSTRUCTIES-GD	130
Casework	Hidden Lines	N-CO-HU-HULPCONSTRUCTIES-GN	10	N-CO-HU-HULPCONSTRUCTIES-GN	10
Ceilings		N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Ceilings	Common Edges	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Ceilings	Cut Pattern	N-CO-HC-HOUTVORM-A	252	N-CO-HC-HOUTVORM-AD	252
Ceilings	Finish 1 [4]	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Ceilings	Finish 2 [5]	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Ceilings	Hidden Lines	N-CO-HC-HOUTVORM-GN	10	N-CO-HC-HOUTVORM-GN	10
Ceilings	Membrane Layer	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Ceilings	Structure [1]	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Ceilings	Substrate [2]	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Ceilings	Surface Pattern	N-CO-HC-HOUTVORM-A	252	N-CO-HC-HOUTVORM-AD	60
Ceilings	Thermal/Air Layer [3]	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Columns		N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Columns	Hidden Lines	N-CO-BC-BETONVORM-GN	10	N-CO-BC-BETONVORM-GN	10
Communication Devices		X-XX-AL-NTB-G	180		
Conduit Fittings		X-XX-AL-NTB-G	180		
Conduit Fittings	Center line	X-XX-AL-HARTLIJN-G	7		
Conduits		X-XX-AL-NTB-G	180		
Conduits	Center line	X-XX-AL-HARTLIJN-G	7		
Conduits	Drop	X-XX-AL-T25	7		
Conduits	Rise	X-XX-AL-T25	7		
Curtain Panels		N-CO-SC-STAALVORM-G	7	N-CO-SC-STAALVORM-GD	90
Curtain Panels	Beton	N-CO-MC-BETONVORM-G	50	N-CO-MC-BETONVORM-GD	50
Curtain Panels	Glass	N-CO-MC-GLAS-G	7	N-CO-MC-GLAS-GD	90
Curtain Panels	Hidden Lines	N-CO-SC-STAALVORM-GN	10	N-CO-SC-STAALVORM-GN	10
Curtain Systems		N-CO-SC-STAALVORM-G	7	N-CO-SC-STAALVORM-GD	90
Curtain Systems	Curtain System Grids	X-XX-AL-HARTLIJN-G	7	X-XX-AL-HARTLIJN-G	7
Curtain Systems	Hidden Lines	N-CO-SC-STAALVORM-GN	10	N-CO-SC-STAALVORM-GN	10
Curtain Wall Mullions		N-CO-SC-STAALVORM-G	7	N-CO-SC-STAALVORM-GD	90
Curtain Wall Mullions	Hidden Lines	N-CO-SC-STAALVORM-GN	10	N-CO-SC-STAALVORM-GN	10
Curtain Wall Mullions	Staal	N-CO-SC-STAALVORM-G	10	N-CO-SC-STAALVORM-GD	90
Data Devices		X-XX-AL-NTB-G	180		
Detail Items		X-XX-AL-CONSTRUCTIELIJN-G	7		
Detail Items	Afbreeklijn	X-XX-AL-AFBREEKLIJN-G	7		
Detail Items	Beton	N-CO-BC-BETONVORM-G	50		
Detail Items	Hidden Lines	X-XX-AL-DETAIL-GN	10		
Detail Items	Staal	N-CO-SC-STAALVORM-G	10		
Detail Items	Stortnaad	N-CO-BC-STORTNAAD-G	7		
Detail Items	Vloersparing	X-XX-AL-DETAIL-G	7		
Detail Items	Vloersparingkruis	X-XX-AL-DETAIL-G	7		
Doors		N-CO-BC-XXX_DEUR-G	30	N-CO-BC-XXX_DEUR-GD	40
Doors	Frame/Mullion	N-CO-BC-XXX_DEUR-G	30	N-CO-BC-XXX_DEUR-GD	40
Doors	Glass	N-CO-BC-XXX_DEUR-G	30	N-CO-BC-XXX_DEUR-GD	40
Doors	Hidden Lines	N-CO-BC-XXX_DEUR-GN	10	N-CO-BC-XXX_DEUR-GN	10
Doors	Opening	N-CO-BC-XXX_DEUR-G	30	N-CO-BC-XXX_DEUR-GD	40
Doors	Panel	N-CO-BC-XXX_DEUR-G	30	N-CO-BC-XXX_DEUR-GD	40
Duct Accessories		X-XX-AL-NTB-G	180		
Duct Fittings		X-XX-AL-NTB-G	180		
Duct Fittings	Center line	X-XX-AL-HARTLIJN-G	7		
Duct Insulations		X-XX-AL-NTB-G	180		
Duct Linings		X-XX-AL-NTB-G	180		
Duct Placeholders		X-XX-AL-NTB-G	180		
Ducts		X-XX-AL-NTB-G	180		
Ducts	Center line	X-XX-AL-HARTLIJN-G	7		
Ducts	Drop	X-XX-AL-T25	7		
Ducts	Rise	X-XX-AL-T25	7		
Electrical Equipment		X-XX-AL-NTB-G	180		
Electrical Equipment	Hidden Lines	X-XX-AL-NTB-GN	200		
Electrical Fixtures		X-XX-AL-NTB-G	180		
Electrical Fixtures	Hidden Lines	X-XX-AL-NTB-GN	200		
Entourage		X-XX-AL-NTB-G	180		
Entourage	Auto	X-XX-AL-NTB-G	180		
Entourage	Bomen	X-XX-AL-NTB-G	180		
Entourage	Hidden Lines	X-XX-AL-NTB-GN	200		
Entourage	Mensen	X-XX-AL-NTB-G	180		
Fire Alarm Devices		X-XX-AL-NTB-G	180		
Flex Ducts		X-XX-AL-NTB-G	180		
Flex Ducts	Center line	X-XX-AL-HARTLIJN-G	7		
Flex Ducts	Pattern	X-XX-AL-NTB-A	252		
Flex Pipes		X-XX-AL-NTB-G	180		
Flex Pipes	Center Line	X-XX-AL-HARTLIJN-G	7		
Flex Pipes	Pattern	X-XX-AL-NTB-A	252		
Floors		N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Floors	Asfalt	N-WE-VH-ASFALT-G	253	N-WE-VH-ASFALT-GD	90
Floors	Beton	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Floors	Common Edges	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Floors	Cut Pattern	N-CO-BC-BETONVORM-A	252	N-CO-BC-BETONVORM-AD	252
Floors	Finish 1 [4]	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Floors	Finish 2 [5]	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Floors	Hidden Lines	N-CO-BC-BETONVORM-GN	10	N-CO-BC-BETONVORM-GN	10
Floors	Hout	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	60
Floors	Hulpconstructies	N-CO-HU-HULPCONSTRUCTIES-G	252	N-CO-HU-HULPCONSTRUCTIES-GD	130
Floors	Interior Edges	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Floors	Kunststof	N-CO-KC-KUNSTSTOFVORM-G	7	N-CO-KC-KUNSTSTOFVORM-GD	90
Floors	Membrane Layer	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Floors	Slab Edges	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Floors	Staal	N-CO-SC-STAALVORM-G	10	N-CO-SC-STAALVORM-GD	90
Floors	Structure [1]	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Floors	Substrate [2]	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Floors	Surface Pattern	N-CO-BC-BETONVORM-A	252	N-CO-BC-BETONVORM-AD	252
Floors	Thermal/Air Layer [3]	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Furniture		X-XX-AL-NTB-G	180		
Furniture	Hidden Lines	X-XX-AL-NTB-GN	200		
Furniture Systems		X-XX-AL-NTB-G	180		
Furniture Systems	Hidden Lines	X-XX-AL-NTB-GN	200		
Generic Models		N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Generic Models	Asfalt	N-WE-VH-ASFALT-G	253	N-WE-VH-ASFALT-GD	90
Generic Models	Beton	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Generic Models	Hidden Lines	N-CO-BC-BETONVORM-GN	10	N-CO-BC-BETONVORM-GN	10
Generic Models	Hout	N-CO-HC-HOUTVORM-G	30	N-CO-HC-HOUTVORM-GD	90
Generic Models	Hulpconstructies	N-CO-HU-HULPCONSTRUCTIES-G	7	N-CO-HU-HULPCONSTRUCTIES-GD	90
Generic Models	Kunststof	N-CO-KC-KUNSTSTOFVORM-G	7	N-CO-KC-KUNSTSTOFVORM-GD	90
Generic Models	Opening Elevation	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GN	90
Generic Models	Overhead	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GN	90
Generic Models	Staal	N-CO-SC-STAALVORM-G	10	N-CO-SC-STAALVORM-GD	90
HVAC Zones		N-WE-KG-GRENS-G	150		
HVAC Zones	Boundary	N-WE-KG-GRENS-G	150		
HVAC Zones	Color Fill	N-WE-KG-GRENS-A	132		
HVAC Zones	Interior Fill	N-WE-KG-GRENS-A	132		
HVAC Zones	Reference Lines	N-WE-KG-GRENS-G	150		
Lighting Devices		X-XX-AL-NTB-G	180		
Lighting Fixtures		X-XX-AL-NTB-G	180		
Lighting Fixtures	Hidden Lines	X-XX-AL-NTB-GN	200		
Lighting Fixtures	Light Source	X-XX-AL-NTB-G	180		
Lines		X-XX-AL-CONSTRUCTIELIJN-G	7		
Lines	<Area Boundary>	N-WE-KG-GRENS-G	150		
Lines	<Beyond>	X-XX-AL-XXX	7		
Lines	<Centerline>	X-XX-AL-HARTLIJN-G	7		
Lines	<Demolished>	N-CO-BC-SLOOPLIJN	1		
Lines	<Fabric Envelope>	X-XX-AL-DETAIL2-G	7		
Lines	<Fabric Sheets>	X-XX-AL-DETAIL2-G	7		
Lines	<Hidden>	X-XX-AL-DETAIL1-GN	1		
Lines	<Overhead>	X_XX_AL_DETAIL4_G	7		
Lines	<Room Separation>	N-WE-KG-GRENS-G	150		
Lines	<Sketch>	X-XX-AL-HULP-G	190		
Lines	<Space Separation>	N-WE-KG-GRENS-G	150		
Lines	Afbreeklijn	X-XX-AL-CONSTRUCTIELIJN-G	7		
Lines	As_Hoofdrijbaan	X-XX-AL-CONSTRUCTIELIJN-G	7		
Lines	Asfalt_Aanzicht	N-WE-VH-ASFALT-G	253		
Lines	Asfalt_Doorsnede	N-WE-VH-ASFALT-GD	253		
Lines	Axis of Rotation	X-XX-AL-HULP-G	190		
Lines	Beton_Aanzicht	N-CO-BC-BETONVORM-G	50		
Lines	Beton_Doorsnede	N-CO-BC-BETONVORM-GD	90		
Lines	Beton_Niet zichtbaar	N-CO-BC-BETONVORM-GN	10		
Lines	Constructielijn	X-XX-AL-CONSTRUCTIELIJN-G	7		
Lines	Edges	X-XX-AL-CONSTRUCTIELIJN-G	7		
Lines	Grondkering_Aanzicht	N-CO-GC-GRONDKERING-G	60		
Lines	Grondkering_Doorsnede	N-CO-GC-GRONDKERING-GD	30		
Lines	Grondkering_Niet zichtbaar	N-CO-GC-GRONDKERING-GN	10		
Lines	Grondwerk_Aanzicht	N-WE-GW-GROND_WERK-G	7		
Lines	Grondwerk_Doorsnede	N-WE-GW-GROND_WERK-GD	7		
Lines	Hartlijn	X-XX-AL-HARTLIJN-G	7		
Lines	Hidden Lines	X-XX-AL-DETAIL1-GN	1		
Lines	Insulation Batting Lines	N-CO-MW-ISOLATIE-GD	140		
Lines	Lines	X-XX-AL-DETAIL2-G	7		
Lines	Maaiveld_Bestaand	X-XX-AL-CONSTRUCTIELIJN-G	7		
Lines	Medium Lines	X-XX-AL-DETAIL3-G	7		
Lines	Paalfundering_Aanzicht	X-XX-AL-CONSTRUCTIELIJN-G	7		
Lines	Paalfundering_Doorsnede	X-XX-AL-CONSTRUCTIELIJN-G	7		
Lines	Paalfundering_Hartlijn	X-XX-AL-CONSTRUCTIELIJN-G	7		
Lines	PVR	X-XX-AL-CONSTRUCTIELIJN-G	7		
Lines	Staal_Aanzicht	N-CO-SC-STAALVORM-G	10		
Lines	Staal_Doorsnede	N-CO-SC-STAALVORM_GD	7		
Lines	Staal_Niet zichtbaar	N-CO-SC-STAALVORM_GN	10		
Lines	Stramienlijn	X-XX-AL-CONSTRUCTIELIJN-G	7		
Lines	Taludlijnen	X-XX-AL-CONSTRUCTIELIJN-G	7		
Lines	Text Lines	X-XX-AL-CONSTRUCTIELIJN-G	7		
Lines	Thin Lines	X_XX_AL_DETAIL1_G	7		
Lines	Wide Lines	X_XX_AL_DETAIL4_G	7		
Lines	Wijzigingsblok contour	X-XX-AL-BLADVERWIJZING_CONTOUR-G	7		
Lines	Wijzigingsblok intern	X-XX-AL-BLADVERWIJZING_CONTOUR-G	7		
Lines	Zandcementstabilisatie	X-XX-AL-CONSTRUCTIELIJN-G	7		
Mass		N-CO-BC-XXX_MASSA-G	7	N-CO-BC-XXX_MASSA-GD	90
Mass	Beton	N-CO-BC-BETONVORM-G	50	N-CO-BC-BETONVORM-GD	90
Mass	Form	N-CO-BC-XXX_MASSA-G	7	N-CO-BC-XXX_MASSA-GD	90
Mass	Gridlines	X-XX-AL-HARTLIJN-G	7	X-XX-AL-HARTLIJN-GD	7
Mass	Hidden Lines	N-CO-BC-XXX_MASSA-GN	7	N-CO-BC-XXX_MASSA-GN	7
Mass	Kunststof	N-CO-KC-KUNSTSTOFVORM-G	7	N-CO-KC-KUNSTSTOFVORM-GD	90
Mass	Mass Floor	N-CO-BC-BETONVORM-G	7	N-CO-BC-BETONVORM-GD	90
Mass	Nodes	N-CO-BC-XXX_MASSA-G	7	N-CO-BC-XXX_MASSA-GD	90
Mass	Pattern Fill	N-CO-BC-XXX-AD	252	N_CO_BC_BETONVORM_AD	252
Mass	Pattern Lines	N-CO-BC-XXX-AD	252	N_CO_BC_BETONVORM_AD	252
Mass	Staal	N-CO-BC-STAALVORM-G	10	N-CO-BC-STAALVORM-GD	90
Mechanical Equipment		X-XX-AL-NTB-G	180		
Mechanical Equipment	Hidden Lines	X-XX-AL-NTB-GN	200		
Nurse Call Devices		X-XX-AL-NTB-G	180		
Parking		N-WE-VW-MARKERING_PARKEERVAK-G	7		
Parking	Hidden Lines	N-WE-VW-MARKERING_PARKEERVAK-GN	7		
Parts		N-CO-XX-XXX_PARTS-G	180	N-CO-XX-XXX_PARTS-GD	90
Parts	Hidden Lines	N-CO-XX-XXX_PARTS-GN	200	N-CO-XX-XXX_PARTS-GN	200
Pipe Accessories		X-XX-AL-NTB-G	180		
Pipe Fittings		X-XX-AL-NTB-G	180		
Pipe Fittings	Center line	X-XX-AL-HARTLIJN-G	7		
Pipe Insulations		X-XX-AL-NTB-G	180		
Pipe Placeholders		X-XX-AL-NTB-G	180		
Pipes		X-XX-AL-NTB-G	180		
Pipes	Center Line	X-XX-AL-HARTLIJN-G	7		
Pipes	Drop	X-XX-AL-NTB-G	180		
Pipes	Rise	X-XX-AL-NTB-G	180		
Planting		N-WE-GR-BEPLANTING-G	90		
Planting	Hidden Lines	N-WE-GR-BEPLANTING-GN	90		
Plumbing Fixtures		X-XX-AL-NTB-G	180		
Plumbing Fixtures	Hidden Lines	X-XX-AL-NTB-GN	200		
Railings		N-CO-SC-STAALVORM-G	7	N-CO-SC-STAALVORM-GD	7
Railings	<Above> Handrails	N-CO-SC-STAALVORM-GN	10	N-CO-SC-STAALVORM-GN	10
Railings	<Above> Railings Cut Line	N-CO-SC-STAALVORM-GN	10	N-CO-SC-STAALVORM-GN	10
Railings	<Above> Top Rails	N-CO-SC-STAALVORM-GN	10	N-CO-SC-STAALVORM-GN	10
